mass,RT,mass.r,formula
a,b,d,e
365.216,8.48,365.216,365.2124@8.466865
322.1067,1.06,322.107,#N/A
394.1271,6.01,394.127,394.1271@6.0208
287.2459,5.79,287.246,#N/A
870.4362,8.2,870.436,> limit nullnullnull 8.2006
283.2866,8.55,283.287,C18 H37 N O
225.9433,0.96,225.943,C4 H2 O9 S
276.0176,0.86,276.018,276.017@0.85772973
384.1915,7.56,384.192,384.1907@7.5555305
520.0189,1.04,520.019,520.0185@1.0349001
138.0069,0.86,138.007,C10 H2 O
526.4259,8.47,526.426,C29 H60 N4 O2 S
1428.7061,8.47,1428.706,1428.7059@8.432
369.733,0.91,369.733,<none> nullnullnull 0.9138205
1404.7568,8.47,1404.757,> limit nullnullnull 8.459571
361.9311,0.88,361.931,C9 H12 Cl2 N2 O3 S3
531.4525,1.06,531.453,531.4539@1.057
530.2699,7.28,530.27,530.2698@7.201001
162.068,3.61,162.068,#N/A
623.393,8.47,623.393,623.3904@8.463135
435.3913,8.07,435.391,C28 H53 N S
337.7945,0.95,337.795,C6 H Cl3 O2 S4
533.7633,1,533.763,C17 H Cl3 O6 S4
1501.9154,8.47,1501.915,> limit nullnullnull 8.44
425.2326,7.72,425.233,C23 H51 N7
317.7719,0.9,317.772,<none> nullnullnull 0.9007954
506.3136,8.15,506.314,C30 H50 O2 S2
203.1779,0.96,203.178,C11 H25 N S
342.1931,4.44,342.193,C25 H26 O
372.1926,8.13,372.193,C17 H35 Cl3 N2
662.4325,8.22,662.433,#N/A
182.9858,1.19,182.986,182.9862@1.183
506.3046,8.48,506.305,#N/A
1712.3066,2.15,1712.307,> limit null 2.1500556
1686.8951,8.47,1686.895,> limit nullnullnull 8.4372225
396.3506,1.03,396.351,C27 H44 N2
1290.6168,8.07,1290.617,1290.6025@8.140001
350.0028,1.02,350.003,C7 H18 N4 O2 S5
128.0452,1.39,128.045,C6 H8 O3
795.5573,8.53,795.557,> limit nullnullnull 8.509199
258.0719,0.71,258.072,#N/A
388.2343,3.09,388.234,C23 H28 N6
1160.6856,8.46,1160.686,> limit nullnullnull 8.467182
298.2529,6.82,298.253,#N/A
281.8309,0.95,281.831,#N/A
289.2614,5.88,289.261,C12 H31 N7 O
383.1213,4.33,383.121,#N/A
275.8734,0.96,275.873,C4 H5 Cl N2 O2 S4
141.9389,0.9,141.939,C3 H4 Cl2 S
1482.8677,8.2,1482.868,> limit nullnullnull 8.145272
455.8747,1.02,455.875,455.8742@1.0214736
764.6843,0.98,764.684,> limit nullnullnull 0.98800004
926.2376,4.28,926.238,> limit nullnullnull 4.2695894
393.1979,6.85,393.198,<none> nullnullnull 6.8405
398.3465,7.61,398.347,C19 H42 N8 O
723.8319,3.27,723.832,#N/A
1006.6621,8.46,1006.662,> limit nullnullnull 8.460081
392.1257,3.21,392.126,C14 H35 N9 O4
593.3741,8.48,593.374,593.3769@8.464727
342.1592,1.06,342.159,C20 H18 N6
411.9799,1.15,411.98,#N/A
312.1503,5.83,312.15,#N/A
165.0209,0.86,165.021,C11 H3 N O
439.7218,0.94,439.722,<none> nullnullnull 0.9338959
296.1492,8.07,296.149,C4 H Cl3 O5 S2
269.792,0.91,269.792,<none> nullnullnull 0.90453845
757.9138,3.22,757.914,> limit null 3.199422
412.1846,3.07,412.185,#N/A
436.2288,2.03,436.229,C17 H36 N6 O3 S2
1552.0204,8.06,1552.02,> limit nullnullnull 8.076667
451.248,7.41,451.248,<none> nullnullnull 7.4232354
284.2771,5.89,284.277,284.2783@5.929998
315.8879,1,315.888,C4 H6 Cl2 O8 S2
424.3465,8.51,424.347,C27 H49 Cl O
684.3943,8.47,684.394,C29 H7 N3 O8 S5
1218.7849,9.03,1218.785,> limit nullnullnull 9.031158
308.173,8.48,308.173,C10 H26 N6 O3 S
1335.8782,8.46,1335.878,1335.8708@8.494
306.9117,3.2,306.912,306.9156@1.28086
1098.6947,8.47,1098.695,> limit nullnullnull 8.461273
252.2333,1.44,252.233,<none> nullnullnull 8.059755
307.2714,6,307.271,#N/A
519.3256,2.08,519.326,C27 H45 N5 O3 S
840.53,8.08,840.53,#N/A
315.9266,3.72,315.927,C14 H2 Cl2 N2 O S
924.6009,8.47,924.601,#N/A
359.9003,0.88,359.9,#N/A
397.3389,7.12,397.339,C26 H43 N3
1012.6445,8.08,1012.645,> limit nullnullnull 8.440944
1470.7412,8.07,1470.741,1470.7583@8.445
565.5381,8.08,565.538,C35 H71 N3 S
549.351,8.47,549.351,549.3529@8.459889
932.7329,3.2,932.733,932.7333@3.1930006
1091.446,0.99,1091.446,> limit nullnullnull 0.99436104
563.3514,2.09,563.351,C22 H49 N11 O2 S2
344.1548,8.03,344.155,344.1571@7.916997
393.3406,8.64,393.341,C16 H43 N9 S
1356.8902,8.57,1356.89,#N/A
401.2668,6.8,401.267,C24 H36 Cl N3
545.6069,0.91,545.607,<none> nullnullnull 0.9074905
263.8637,0.99,263.864,C5 H6 Cl2 S4
247.9605,0.88,247.961,C10 H Cl N2 O4
435.6848,0.91,435.685,<none> nullnullnull 0.90583014
501.321,8.12,501.321,C17 H45 Cl2 N13
364.1341,5.63,364.134,364.1362@5.626
386.193,3.32,386.193,C16 H30 N6 O S2
589.4151,6.61,589.415,C31 H63 N3 O S3
398.1023,5.47,398.102,C15 H22 N6 O S3
289.1455,2.18,289.146,C14 H19 N5 O2
327.9946,0.97,327.995,C12 H18 Cl2 S3
407.2304,8.25,407.23,C22 H34 Cl N3 O2
1308.7597,8.47,1308.76,> limit nullnullnull 8.455299
332.1323,1.06,332.132,C13 H16 N8 O3
196.1119,8.47,196.112,C5 H16 N4 O4
413.8659,1,413.866,413.8654@0.9930001
401.2276,1.99,401.228,C21 H31 N5 O S
419.7822,0.95,419.782,#N/A
573.4214,8.18,573.421,#N/A
339.1917,3.23,339.192,C25 H25 N
609.3917,8.07,609.392,609.3933@8.070726
780.4719,8.02,780.472,> limit nullnullnull 8.007944
255.2559,8.18,255.256,C16 H33 N O
310.9655,2.72,310.966,C15 H3 Cl2 N3 O
190.0807,2.81,190.081,C12 H14 S
439.9183,4.28,439.918,C17 H4 N4 O3 S4
509.9454,2.82,509.945,C19 H12 Cl2 N4 O3 S3
338.0871,1.05,338.087,C17 H22 O S3
373.8512,0.99,373.851,#N/A
493.9504,2.8,493.95,C19 H12 Cl2 N4 O2 S3
1194.6086,8.13,1194.609,1194.6156@8.177
203.1651,2.41,203.165,C14 H21 N
393.7879,0.96,393.788,393.7827@0.95275
1566.9617,8.47,1566.962,> limit null 8.462167
1713.1032,2.14,1713.103,> limit null 2.1446207
255.2538,7.6,255.254,C16 H33 N O
199.1935,6.03,199.194,C12 H25 N O
403.2886,2.73,403.289,C19 H41 N5 O4
855.3807,0.91,855.381,> limit nullnullnull 0.9069808
131.041,2.24,131.041,C5 H9 N O S
1564.0513,8.05,1564.051,> limit nullnullnull 8.067031
309.3035,8.12,309.304,C20 H39 N O
1208.6405,8.47,1208.641,1208.6372@8.449
848.5354,8.08,848.535,> limit null 8.533478
336.3793,8.06,336.379,336.3791@8.051462
607.0439,0.97,607.044,#N/A
437.3657,7.38,437.366,C27 H51 N O S
255.0082,2.24,255.008,C6 H11 N O6 S2
377.2088,4.61,377.209,377.2099@4.542864
484.5524,3.21,484.552,484.5522@3.2040005
310.0146,0.86,310.015,C8 H11 Cl N4 O5 S
355.3069,4.13,355.307,C17 H37 N7 O
265.0704,0.97,265.07,#N/A
358.0631,6.01,358.063,C20 H11 Cl N4 O
529.6207,0.91,529.621,<none> nullnullnull 0.9059025
1060.5519,8.22,1060.552,1060.5505@8.223
633.4434,6.58,633.443,C41 H63 N S2
653.7364,0.97,653.736,C17 H Cl3 N4 O8 S5
240.1375,1,240.138,C13 H20 O4
339.7875,0.94,339.788,C6 H3 Cl3 S5
537.7872,1.01,537.787,#N/A
397.3555,5.31,397.356,C24 H47 N O3
170.141,2.95,170.141,C9 H18 N2 O
377.2089,4.42,377.209,377.2099@4.542864
607.1594,0.96,607.159,#N/A
541.367,9.21,541.367,C29 H52 Cl N3 O4
397.744,0.94,397.744,<none> nullnullnull 0.93567497
953.3121,0.91,953.312,> limit nullnullnull 0.90907544
778.4083,2.15,778.408,#N/A
545.3917,6.64,545.392,#N/A
191.9415,0.9,191.942,#N/A
239.9177,1.14,239.918,C7 H6 Cl2 O S2
1327.517,9.07,1327.517,> limit nullnullnull 9.061304
413.9718,0.88,413.972,#N/A
450.2769,8.78,450.277,C24 H47 Cl O S2
509.316,8.08,509.316,509.3114@8.072372
287.2815,6.17,287.282,C13 H33 N7
352.333,2.52,352.333,C23 H44 O2
598.3494,8.1,598.349,#N/A
98.973,0.88,98.973,<none> nullnullnull 0.87871426
207.0704,4.01,207.07,207.0702@4.036
480.2138,1.03,480.214,C14 H24 N16 O4
323.1918,8.06,323.192,C18 H29 N O2 S
298.0857,1.07,298.086,C14 H18 O5 S
153.0515,0.98,153.052,<none> nullnullnull 0.9717222
677.0077,8.46,677.008,C24 H18 Cl3 N11 O3 S2
704.4646,8.49,704.465,C38 H74 O3 S4
321.8241,0.99,321.824,C6 H4 Cl2 O S5
1768.185,8.47,1768.185,> limit nullnullnull 8.467045
415.2774,8.45,415.277,415.2768@8.080529
408.4409,1.99,408.441,<none> nullnullnull 1.977
170.1304,7.18,170.13,C10 H18 O2
297.9472,0.99,297.947,#N/A
774.5683,8.46,774.568,> limit nullnullnull 8.479601
978.2952,1.95,978.295,978.2954@1.9640002
1015.6878,8.46,1015.688,> limit nullnullnull 8.466214
314.1701,6.48,314.17,314.1701@6.4679995
1614.9301,8.05,1614.93,1614.9207@8.04
1356.7408,8.19,1356.741,> limit nullnullnull 8.185
575.4075,6.98,575.408,#N/A
412.3119,7.77,412.312,C25 H45 Cl O2
384.3941,0.86,384.394,C21 H48 N6
413.2399,8.23,413.24,413.2359@8.448557
978.097,1.96,978.097,978.0957@1.9609995
607.3776,2.11,607.378,C32 H49 N9 O S
394.4044,0.82,394.404,C24 H50 N4
604.0215,4.31,604.022,#N/A
353.0338,4.31,353.034,C22 H11 N S2
225.0105,2.23,225.011,C12 H4 Cl N3
499.3609,6.06,499.361,C29 H54 Cl N O S
384.7722,8.19,384.772,#N/A
910.5107,8.2,910.511,#N/A
482.6252,3.21,482.625,<none> null 3.1980338
543.6016,0.91,543.602,<none> nullnullnull 0.906074
436.2286,1.04,436.229,C17 H36 N6 O3 S2
468.2566,7.64,468.257,468.2538@7.6429753
394.0628,4.32,394.063,C24 H14 N2 S2
507.9092,0.86,507.909,#N/A
616.6585,2.53,616.659,<none> null 2.5242355
1413.8316,8.47,1413.832,1413.8278@8.53
493.6391,0.91,493.639,<none> nullnullnull 0.9056981
287.2808,6.71,287.281,C13 H33 N7
288.9883,0.88,288.988,C8 H8 Cl N5 O S2
372.1465,0.86,372.147,Laberalol null 0.85725
390.454,3.21,390.454,<none> null 3.199488
327.8938,0.86,327.894,C14 O4 S3
503.6271,0.92,503.627,#N/A
229.1664,2.97,229.166,#N/A
140.0841,8.07,140.084,#N/A
357.2587,3.21,357.259,357.2587@3.1969993
375.7298,0.91,375.73,<none> nullnullnull 0.9105745
163.1356,2.11,163.136,C11 H17 N
401.1011,2.09,401.101,C15 H23 N5 O2 S3
162.0678,3.52,162.068,#N/A
412.2537,8.08,412.254,C22 H32 N6 O2
199.8516,0.92,199.852,#N/A
263.8542,0.96,263.854,C7 H Cl O3 S3
150.9573,2.22,150.957,C3 H5 N S3
439.1435,2.47,439.144,#N/A
231.892,0.97,231.892,C5 H3 Cl3 O2 S
614.3482,8.08,614.348,#N/A
385.9446,1,385.945,385.9441@0.9804166
250.168,2.9,250.168,#N/A
266.0364,2.16,266.036,C11 H10 N2 O4 S
441.7207,0.94,441.721,<none> nullnullnull 0.9334318
671.5883,0.95,671.588,C38 H73 N9 O
563.3683,8.47,563.368,C29 H54 Cl N O7
1440.8296,8.07,1440.83,> limit nullnullnull 8.09675
404.9023,0.96,404.902,<none> nullnullnull 0.95066667
838.7826,8.54,838.783,> limit nullnullnull 8.549817
289.9387,0.86,289.939,C9 H6 O5 S3
764.5696,0.97,764.57,> limit nullnullnull 0.9692292
1092.5555,3.06,1092.556,#N/A
339.3491,8.81,339.349,#N/A
419.8873,0.86,419.887,C18 H6 Cl2 O2 S3
315.7676,0.92,315.768,#N/A
135.9878,1.13,135.988,C10 O
289.2619,6.09,289.262,C12 H31 N7 O
598.3428,8.46,598.343,#N/A
1633.2794,8.45,1633.279,> limit nullnullnull 8.448546
294.1181,2.02,294.118,C18 H21 N3 O
631.5217,8.76,631.522,C40 H73 N S2
448.2891,8.47,448.289,448.2817@8.004
1296.6283,8.46,1296.628,1296.6378@8.4660015
242.1481,4.24,242.148,C14 H23 Cl O
177.0751,1.1,177.075,177.0752@1.165
478.1513,2.74,478.151,C19 H32 Cl2 N6 S2
267.0527,2.8,267.053,C8 H17 N3 O S3
437.2394,7.14,437.239,437.2352@7.145997
453.4228,0.86,453.423,#N/A
334.1037,3.12,334.104,C14 H10 N10 O
468.3848,8.09,468.385,C29 H56 O2 S
221.0222,0.87,221.022,C12 H3 N3 O2
779.7623,1.01,779.762,> limit nullnullnull 1.0443333
537.8895,1.01,537.89,#N/A
173.9943,1.09,173.994,173.9943@1.0100001
500.3696,7.63,500.37,C35 H48 O2
350.0149,0.88,350.015,#N/A
509.7078,0.95,509.708,<none> nullnullnull 0.9524688
815.3634,0.92,815.363,#N/A
571.9688,1.02,571.969,C23 H8 O18
1224.6937,8.12,1224.694,#N/A
778.8657,2.16,778.866,> limit null 2.1503222
421.7771,1,421.777,C6 H5 Cl3 O5 S5
1551.9339,8.48,1551.934,> limit null 8.49636
481.7314,0.98,481.731,<none> nullnullnull 0.9892962
360.061,4.32,360.061,C17 H9 Cl N8
723.965,3.21,723.965,723.9603@3.2020013
1238.7436,3.21,1238.744,1238.7428@3.2119987
278.0104,4.33,278.01,C10 H14 O3 S3
174.1108,0.91,174.111,#N/A
285.9337,2.81,285.934,C13 Cl2 N2 O2
439.3981,6.28,439.398,C23 H49 N7 O
1114.9076,8.47,1114.908,> limit nullnullnull 8.453
309.9897,1.48,309.99,309.9898@1.468
607.4497,0.96,607.45,<none> nullnullnull 0.96099997
341.8598,0.95,341.86,#N/A
1100.686,8.07,1100.686,> limit nullnullnull 8.067063
320.2108,4.42,320.211,C23 H28 O
561.3524,8.47,561.352,C18 H47 N11 O7 S
491.6433,0.92,491.643,<none> nullnullnull 0.91205883
468.3938,5.2,468.394,C27 H52 N2 O4
480.2521,1.04,480.252,480.2564@8.465406
249.0733,0.94,249.073,249.0744@0.9399999
447.3135,3.6,447.314,C22 H46 Cl N5 S
270.0327,0.96,270.033,C6 H10 N2 O10
358.0596,3.97,358.06,C13 H16 Cl2 N6 S
210.0849,0.86,210.085,C12 H10 N4
360.2083,2.98,360.208,#N/A
413.0128,3.21,413.013,413.0142@3.1989996
1012.8153,8.45,1012.815,> limit nullnullnull 8.459375
317.8809,0.99,317.881,#N/A
508.3004,8.47,508.3,C29 H41 Cl N6
365.3646,8.75,365.365,<none> null 8.766324
720.4178,2.98,720.418,#N/A
444.7468,4.28,444.747,<none> nullnullnull 4.272125
529.315,8.07,529.315,C23 H49 Cl2 N5 O4
431.9941,1.06,431.994,431.9969@1.0654651
497.6816,0.94,497.682,<none> nullnullnull 0.9339412
2026.5226,8.48,2026.523,2026.5162@8.447
646.4166,8.58,646.417,646.4161@8.542396
279.0858,0.96,279.086,279.0851@0.96399987
1355.004,8.48,1355.004,> limit nullnullnull 8.489214
394.2634,6.38,394.263,394.2631@6.4000006
1327.116,8.47,1327.116,> limit nullnullnull 8.466875
121.0874,1.44,121.087,#N/A
264.1578,3.41,264.158,C8 H21 Cl N8
180.0563,0.85,180.056,#N/A
164.0472,1.44,164.047,C9 H8 O3
399.7446,0.94,399.745,<none> nullnullnull 0.9375
1290.6091,8.19,1290.609,1290.6025@8.140001
447.6616,0.92,447.662,#N/A
399.2795,2.99,399.28,<none> nullnullnull 2.9746
435.9076,0.85,435.908,#N/A
132.9683,0.87,132.968,<none> nullnullnull 0.8676297
703.4971,0.9,703.497,#N/A
262.1197,3.22,262.12,#N/A
390.2476,8.51,390.248,#N/A
437.7247,0.94,437.725,<none> nullnullnull 0.9346863
423.7834,1.44,423.783,423.7832@1.442
455.7041,0.94,455.704,#N/A
1865.1138,8.47,1865.114,1865.103@8.464998
437.3679,5.07,437.368,C27 H51 N O S
433.8007,0.98,433.801,C10 H4 Cl2 O5 S5
830.1853,3.21,830.185,> limit null 3.20756
276.1433,4.34,276.143,#N/A
259.811,0.91,259.811,<none> nullnullnull 0.9072222
425.771,0.98,425.771,#N/A
1095.2091,0.92,1095.209,#N/A
1013.0327,8.44,1013.033,1013.0345@8.4609995
258.0104,2.9,258.01,#N/A
1462.0445,8.46,1462.045,> limit nullnullnull 8.464909
277.9034,0.88,277.903,277.903@0.8745714
295.9134,3.2,295.913,C7 H11 Cl3 O2 S2
163.0314,1.39,163.031,C5 H9 N O3 S
255.9737,0.88,255.974,#N/A
281.0619,1.01,281.062,C15 H11 N3 O S
1897.41,8.48,1897.41,1897.4104@8.464
318.1322,5.04,318.132,#N/A
169.0241,1.02,169.024,C4 H11 N O2 S2
214.9861,0.85,214.986,C14 H N S
556.6026,6,556.603,<none> nullnullnull 5.990571
323.8365,1.01,323.837,C9 H2 Cl2 O3 S3
325.8016,0.95,325.802,#N/A
721.4778,0.91,721.478,C39 H74 Cl3 N3 O2
255.2555,7.14,255.256,C16 H33 N O
727.0636,3.2,727.064,727.0692@3.190001
249.0439,2.82,249.044,249.0439@2.8016112
258.0873,3.54,258.087,#N/A
827.8258,3.21,827.826,827.8267@3.210999
626.4849,8.23,626.485,C38 H79 Cl N4
2298.1062,9.08,2298.106,2298.1023@9.089
423.217,6.84,423.217,423.2133@6.8410025
367.9326,0.88,367.933,#N/A
800.5011,9.07,800.501,> limit nullnullnull 9.051056
451.7478,0.95,451.748,451.7492@0.94794434
346.1635,8.09,346.164,Tolazamide
574.3573,6.49,574.357,C38 H51 Cl O2
633.6512,0.95,633.651,C41 H83 N3 O
530.3319,6.51,530.332,C35 H47 Cl N2
1103.44,1.02,1103.44,#N/A
406.2459,8.07,406.246,C23 H35 Cl N2 O2
253.9791,0.88,253.979,#N/A
301.0153,2.81,301.015,C15 H8 Cl N O4
443.3032,3.01,443.303,C22 H42 Cl N5 O2
316.2343,1.44,316.234,#N/A
767.7544,0.87,767.754,#N/A
556.2949,5.81,556.295,C29 H44 N6 O S2
1251.7225,3.2,1251.723,> limit null 3.2089999
477.9451,1.01,477.945,C11 H14 N2 O11 S4
585.5777,3.21,585.578,C36 H76 Cl N3
375.3717,8.63,375.372,C18 H45 N7 O
423.3517,7.09,423.352,#N/A
434.2172,8.21,434.217,#N/A
666.8308,4.31,666.831,666.83@4.327
429.9649,0.86,429.965,C14 H6 O16
543.6863,0.95,543.686,<none> nullnullnull 0.9340001
173.0322,0.89,173.032,C6 H7 N O5
407.7677,0.95,407.768,C9 H3 Cl3 O2 S5
237.0037,0.88,237.004,237.0021@0.83666676
541.8699,9.21,541.87,C25 H2 O7 S4
308.0437,4.32,308.044,C19 H13 Cl S
196.093,0.95,196.093,C11 H16 O S
355.2543,2.96,355.254,C20 H37 N O2 S
1188.6062,8.18,1188.606,#N/A
166.0458,6.98,166.046,C6 H14 O5
245.0847,0.85,245.085,<none> nullnullnull 0.8449444
1078.28,3.21,1078.28,1078.2903@3.2070003
444.6731,4.34,444.673,<none> nullnullnull 4.320964
396.2601,1.04,396.26,#N/A
1752.9328,8.46,1752.933,> limit nullnullnull 8.472846
519.418,8.99,519.418,C31 H57 N3 O S
499.6801,0.94,499.68,#N/A
893.3408,0.91,893.341,#N/A
181.9338,0.92,181.934,#N/A
1200.6317,8.22,1200.632,1200.6205@8.25
455.1203,2.74,455.12,455.1211@2.7450008
264.101,1.08,264.101,C18 H16 S
562.4586,9.1,562.459,C39 H62 S
653.6122,0.94,653.612,#N/A
891.3282,0.91,891.328,> limit nullnullnull 0.91366667
989.2377,0.91,989.238,#N/A
347.0726,0.98,347.073,C11 H9 N9 O5
295.0585,0.98,295.059,295.0587@0.946
463.3453,7.09,463.345,463.3439@7.085001
151.0578,1.44,151.058,#N/A
367.2822,5.87,367.282,367.2837@5.89543
461.9726,1.03,461.973,C15 H10 O15 S
384.0153,0.87,384.015,#N/A
286.0388,0.87,286.039,#N/A
224.1201,0.88,224.12,224.1239@0.89399976
297.9615,0.86,297.962,C12 H10 O S4
422.0423,1.01,422.042,C17 H14 N2 O9 S
432.3621,0.86,432.362,#N/A
713.568,0.94,713.568,#N/A
151.0598,1.44,151.06,#N/A
127.1358,1.44,127.136,#N/A
722.7481,3.14,722.748,722.7483@3.2119994
157.9125,1.1,157.913,#N/A
111.0978,0.86,111.098,<none> nullnullnull 0.861091
159.1816,0.88,159.182,#N/A
441.8709,0.86,441.871,C17 H2 N2 O3 S5
547.6741,0.95,547.674,<none> nullnullnull 0.93250006
603.685,0.95,603.685,603.6859@0.9470001
163.0256,0.88,163.026,#N/A
435.8678,0.86,435.868,C18 H8 N6 O2 S3
