mass,RT,mass.r,formula
a,b,d,e
152.9541,3.2,152.954,<none> null 3.1815646
304.1478,1.04,304.148,C18 H24 O2 S
314.1708,2.96,314.171,314.1701@6.4679995
777.5829,9.07,777.583,> limit nullnullnull 9.062331
672.3775,8.48,672.378,672.3761@8.468327
908.4762,4.12,908.476,> limit nullnullnull 4.119741
961.4209,4.27,961.421,> limit nullnullnull 4.266827
378.2238,8.07,378.224,378.223@8.46535
702.391,8.07,702.391,C25 H55 Cl N12 O9
308.1228,1.06,308.123,C15 H20 N2 O3 S
357.2411,8.46,357.241,#N/A
254.1115,1.47,254.112,C11 H23 Cl O2 S
761.4496,0.92,761.45,> limit nullnullnull 0.9065384
533.3367,4.86,533.337,C31 H51 N O2 S2
216.0969,1.02,216.097,C14 H16 S
206.1508,2.84,206.151,C10 H22 O4
240.1228,2.18,240.123,#N/A
113.084,2.06,113.084,C6 H11 N O
514.2734,8.12,514.273,514.2762@8.109064
426.0711,1.99,426.071,C13 H22 N4 O6 S3
366.1909,7.55,366.191,C19 H30 N2 O3 S
330.3128,8.27,330.313,C20 H42 O3
475.3197,8.08,475.32,475.3187@8.073858
564.3618,8.46,564.362,564.3634@8.459277
368.1778,2.31,368.178,#N/A
487.2772,8.46,487.277,C23 H29 N13
582.3335,8.35,582.334,C20 H47 Cl N12 O2 S2
204.0878,1.92,204.088,#N/A
444.3822,4.34,444.382,C27 H48 N4 O
642.3497,8.47,642.35,C30 H54 N6 O3 S3
472.2417,8.49,472.242,C25 H42 Cl2 N2 S
292.1649,3.53,292.165,#N/A
296.1201,1.06,296.12,C16 H16 N4 O2
362.224,7.58,362.224,C21 H26 N6
1325.346,9.07,1325.346,> limit nullnullnull 9.062074
612.1775,9.06,612.178,C38 H24 N6 O S
383.3347,7.8,383.335,C19 H41 N7 O
534.7833,1.01,534.783,<none> null 1.0143636
155.9767,0.88,155.977,C10 H Cl
243.1822,3.7,243.182,C13 H25 N O3
430.1978,3.07,430.198,C21 H30 N6 S2
540.295,8.49,540.295,540.2963@8.073129
370.096,6.94,370.096,C15 H22 N4 O S3
261.8947,1.12,261.895,261.8945@1.1242925
1572.8976,8.47,1572.898,> limit nullnullnull 8.467869
394.2236,8.47,394.224,394.2235@8.4680805
402.1892,2.52,402.189,C19 H30 O9
340.1577,8.08,340.158,C24 H24 N2
317.964,0.98,317.964,C7 H8 Cl2 N2 O8
444.2368,8.1,444.237,C16 H38 Cl2 N8 O2
345.3254,8.1,345.325,C20 H43 N O3
196.1033,2.01,196.103,C6 H16 N2 O5
331.3231,5.17,331.323,C23 H41 N
159.9773,0.66,159.977,#N/A
1637.0314,8.18,1637.031,> limit nullnullnull 8.175884
445.297,8.09,445.297,445.2969@8.081451
460.1133,5.28,460.113,C22 H16 N6 O6
384.1481,4.32,384.148,C20 H24 N4 S2
242.1153,2.21,242.115,C16 H18 S
181.1828,2.55,181.183,C12 H23 N
706.3738,4.27,706.374,C37 H65 N5 O8
125.0812,0.87,125.081,#N/A
256.2392,0.72,256.239,#N/A
326.1934,1.95,326.193,C11 H30 N6 O S2
530.4004,8.76,530.4,C30 H58 O5 S
364.2024,8.47,364.202,364.2013@8.465906
157.1461,4.18,157.146,#N/A
357.9744,0.88,357.974,357.9767@0.87637496
393.2028,6.92,393.203,C19 H28 Cl N5 O2
350.2064,8.47,350.206,350.2037@8.463791
385.7713,8.21,385.771,<none> nullnullnull 8.209399
81.9379,1,81.938,<none> nullnullnull 1.0085001
391.2363,8.46,391.236,C15 H29 N13
498.2622,8.19,498.262,C24 H40 N2 O9
447.2695,0.8,447.27,C27 H42 Cl N S
345.3235,8.45,345.324,C20 H43 N O3
272.1624,2.8,272.162,#N/A
247.9205,3.19,247.921,C6 H4 N2 O S4
222.0579,5.48,222.058,<none> nullnullnull 6.931442
238.1196,2.64,238.12,C13 H19 Cl N2
351.1917,8.09,351.192,C15 H29 N O8
234.8043,1.1,234.804,234.804@1.113
351.1903,3,351.19,C15 H29 N O8
449.2905,8.46,449.291,449.2948@8.463277
266.1143,2.14,266.114,266.1124@1.0722708
379.956,1.08,379.956,379.9557@1.0777593
324.1577,3.22,324.158,C22 H18 N2 O
404.7011,0.96,404.701,<none> nullnullnull 0.975
304.975,1.1,304.975,C10 H8 Cl N O6 S
221.8784,1.05,221.878,#N/A
349.1863,2.33,349.186,#N/A
352.1906,8.07,352.191,#N/A
630.3459,8.47,630.346,630.3424@8.4647875
219.9516,1.07,219.952,C3 H8 O5 S3
333.188,8.48,333.188,C15 H28 Cl N3 O3
1080.2664,8.84,1080.266,> limit nullnullnull 8.856084
1230.6761,8.47,1230.676,> limit nullnullnull 8.462144
798.337,4.25,798.337,798.3352@4.255384
333.8828,3.87,333.883,C13 Cl2 N2 O S2
536.1435,7.48,536.144,C21 H30 Cl2 N4 O8
402.1951,8.07,402.195,C25 H26 N2 O3
482.2624,8.16,482.262,482.2601@7.123809
472.2379,8.07,472.238,C15 H36 N16 S
380.2044,8.48,380.204,C10 H28 N12 S2
409.9687,1.17,409.969,409.9699@1.1554362
2444.2402,1.96,2444.24,> limit nullnullnull 1.9596
585.175,3.2,585.175,C18 H35 N O20
466.2855,8.81,466.286,C22 H46 N2 O2 S3
477.2974,8.47,477.297,477.2978@8.469937
508.2972,8.17,508.297,C27 H53 Cl S3
490.2503,8.2,490.25,490.2507@8.210308
167.9865,1.02,167.987,C5 H9 Cl O2 S
331.3232,5.81,331.323,C23 H41 N
1070.8591,8.84,1070.859,> limit nullnullnull 8.844346
447.2968,8.48,447.297,C28 H37 N3 O2
351.9759,1.01,351.976,C11 H4 N4 O8 S
202.2156,0.87,202.216,#N/A
252.1349,2.94,252.135,#N/A
299.9366,1.03,299.937,C5 H5 Cl N4 O5 S2
724.3208,3.2,724.321,#N/A
2444.742,1.96,2444.742,> limit nullnullnull 1.9556863
216.0982,2.34,216.098,C14 H16 S
389.7932,0.95,389.793,C5 H3 Cl3 O6 S4
702.3911,8.49,702.391,C25 H55 Cl N12 O9
218.1539,0.96,218.154,C12 H18 N4
444.2394,8.23,444.239,C16 H38 Cl2 N8 O2
232.0721,2.81,232.072,C13 H12 O4
998.5513,8.07,998.551,> limit nullnullnull 8.077255
394.1921,2.97,394.192,C20 H29 Cl N2 O4
298.2538,6.91,298.254,#N/A
1605.9983,8.46,1605.998,#N/A
262.0496,4.32,262.05,C14 H14 O S2
196.0711,0.88,196.071,C5 H13 Cl N4 O2
1644.8915,8.47,1644.892,> limit nullnullnull 8.468729
1018.531,8.48,1018.531,> limit nullnullnull 8.449001
415.2809,8.08,415.281,#N/A
309.8931,1.05,309.893,C5 H4 Cl2 O9 S
1040.6932,8.22,1040.693,> limit nullnullnull 8.213116
416.2059,3.22,416.206,C24 H32 O4 S
212.104,2.04,212.104,#N/A
612.3383,8.08,612.338,C46 H44 O
256.1297,2.43,256.13,#N/A
384.2803,8.08,384.28,384.2807@8.077716
594.3572,8.08,594.357,C15 H43 N13 O4 S4
382.205,7.54,382.205,C18 H29 Cl N4 O3
676.3566,8.47,676.357,C37 H60 N2 O S4
602.3208,8.07,602.321,602.3222@8.071379
